Item type,Review order,Priority,Boundary score,Compiler #,Chapter or lane,Date,Title,Release or status,Pages,Page basis,NAID,Local identifier,Source family,Source locator,Matched gaps,Boundary reasons,Boundary question,Next action,Source note,Catalog URL,PDF URL
Confirmed record,66,Medium,42,3.001,India,1989-02-23,Memorandum of Conversation,Full,9 pages,Recorded extent; still verify selected item boundaries before final numbering.,428079855,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-23--Venkataraman.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Confidential.",https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
Confirmed record,67,Medium,42,2.003,Pakistan,1989-02-24,Memorandum of Conversation,Full,7 pages,Recorded extent; still verify selected item boundaries before final numbering.,428079859,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-24--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Secret.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
Confirmed record,68,Medium,42,4.002,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Restricted - Possibly,102 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760991,90009-017,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-017 | 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf,"Medium: Audit source notes, titles, and provenance before final numbering",folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Spot-check Scowcroft-derived presidential conversation titles against PDF or catalog title pages.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, OA/ID 90009-017.",https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
Confirmed record,69,Medium,42,2.009,Pakistan,1989-06-10,Memorandum of Telephone Conversation,Full,1 page,Recorded extent; still verify selected item boundaries before final numbering.,428080061,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-10--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. No classification marking.",https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
Confirmed record,70,Medium,42,3.005,India,1989-07-04,Memorandum of Telephone Conversation,Full,2 pages,Recorded extent; still verify selected item boundaries before final numbering.,428080113,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989 | 1989-07-04--Gandhi.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-007, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Confidential.",https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
Confirmed record,71,Medium,42,2.010,Pakistan,1989-08-05,Memorandum of Telephone Conversation,Full,2 pages,Recorded extent; still verify selected item boundaries before final numbering.,428080169,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989 | 1989-08-05--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-008, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Secret.",https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
Confirmed record,72,Medium,42,4.003,Regional,1989-08-29,"NSD-20 - August 29, 1989 - U.S. Policy toward South Asia",Restricted - Possibly,45 pages,Recorded extent; still verify selected item boundaries before final numbering.,446396836,90003-027,H-Files - National Security Directive (NSD) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-027 | 41-bpr-nsc-hfiles-nsd-20-90003-027.pdf,"Medium: Audit source notes, titles, and provenance before final numbering",folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Spot-check Scowcroft-derived presidential conversation titles against PDF or catalog title pages.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-20 - August 29, 1989 - U.S. Policy toward South Asia, OA/ID 90003-027.",https://catalog.archives.gov/id/446396836,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf
Confirmed record,73,Medium,42,3.006,India,1989-10-18,Memorandum of Telephone Conversation,Full,1 page,Recorded extent; still verify selected item boundaries before final numbering.,428080301,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989 | 1989-10-18--Gandhi.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-010, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. No classification marking.",https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
Confirmed record,74,Medium,42,4.005,Regional,1990-10-01,Memorandum of Conversation,Full,5 pages,Recorded extent; still verify selected item boundaries before final numbering.,428081099,[Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990 | 1990-10-01--Ershad.pdf,"High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01728-004, [Memorandum of Conversations (Memcons) - July 1990-December 1990]: October 1990. Secret.",https://catalog.archives.gov/id/428081099,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Ershad.pdf
Confirmed record,75,Medium,42,3.009,India,1991-12-15,Memorandum of Telephone Conversation,Full,1 page,Recorded extent; still verify selected item boundaries before final numbering.,428082103,[Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]:  December 1991,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]:  December 1991 | 1991-12-15--Rao.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01730-013, [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]: December 1991. Confidential.",https://catalog.archives.gov/id/428082103,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-12-15--Rao.pdf
Confirmed record,76,Medium,42,3.010,India,1992-01-31,Memorandum of Conversation,Partial,3 pages,Recorded extent; still verify selected item boundaries before final numbering.,428082131,[Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992 | 1992-01-31--Rao.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992. Confidential.",https://catalog.archives.gov/id/428082131,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-01-31--Rao.pdf
Confirmed record,77,Medium,42,2.029,Pakistan,1992-12-03,Memorandum of Telephone Conversation,Partial,2 pages,Recorded extent; still verify selected item boundaries before final numbering.,428082401,[Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992 | 1992-12-03--Sharif.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]: December 1992. Confidential.",https://catalog.archives.gov/id/428082401,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-12-03--Sharif.pdf
Confirmed record,78,Medium,34,3.004,India,1989-06-08,Memorandum of Telephone Conversation,Full,4 pages,Recorded extent; still verify selected item boundaries before final numbering.,428080057,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-08--Gandhi.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Secret.",https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
Confirmed record,79,Medium,34,2.011,Pakistan,1989-11-01,Memorandum of Telephone Conversation,Full,3 pages,Recorded extent; still verify selected item boundaries before final numbering.,428080317,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989 | 1989-11-01--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-011, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Confidential.",https://catalog.archives.gov/id/428080317,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf
Confirmed record,80,Medium,34,3.008,India,1991-02-08,Memorandum of Telephone Conversation,Full,4 pages,Recorded extent; still verify selected item boundaries before final numbering.,428081443,[Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]:  February 1991 [1],Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]:  February 1991 [1] | 1991-02-08--Shankar.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01730-002, [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]: February 1991 [1]. Confidential.",https://catalog.archives.gov/id/428081443,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-08--Shankar.pdf
